Monitoring start.
b'test_on_fps_update' 16459 93
b'test_on_fps_update' 16459 90
b'test_on_fps_update' 16459 97
b'test_on_fps_update' 16459 86
b'test_on_fps_update' 16459 77
b'test_on_fps_update' 16459 79
b'test_on_fps_update' 16459 75
b'test_on_fps_update' 16459 77
b'test_on_fps_update' 16459 77
b'test_on_fps_update' 16459 82
b'test_on_fps_update' 16459 88
b'test_on_fps_update' 16459 80
b'test_on_fps_update' 16459 98
b'test_on_fps_update' 16459 92
b'test_on_fps_update' 16459 96
b'test_on_fps_update' 16459 93
b'test_on_fps_update' 16459 91
b'test_on_fps_update' 16459 89
b'test_on_fps_update' 16459 94
b'test_on_fps_update' 16459 77
b'test_on_fps_update' 16459 75
b'test_on_fps_update' 16459 76
b'test_on_fps_update' 16459 74
b'test_on_fps_update' 16459 77
b'test_on_fps_update' 16459 82
b'test_on_fps_update' 16459 86
b'test_on_fps_update' 16459 92
